Manufacturer,Length,Crew,Troops,Cargo Capacity,Consumables,Hyperdrive Multiplier,Hyperdrive Backup,Speed,Hull,Shields,Special Features,Onboard Craft,QUAD LASER CANNON TURRETS,GENERAL PURPOSE LAUNCHERS,DOUBLE TURBOLASER CANNONS,LASER CANNONS,MEDIUM BLASTER CANNONS,LIGHT TURBOLASER CANNONS,CONCUSSION MISSILE LAUNCHERS,TURBOLASER BATTERIES,HEAVY TURBOLASER TURRETS,TURBOLASER CANNONS,BUILD-IN SPACE BOMB.,MEDIUM ION CANNONS,PROTON TORPEDO LAUNCHERS,QUAD LASER CANNONS,GRAVITY WELL PROJECTORS,QUAD TURBOLASER BATTERIES,DOUBLE TURBOLASER BATTERIES,CUNCUSSION MISSILE LAUNCHERS,TRACTOR BEAM PROJECTORS,DOUBLE LASER CANNONS,DOUBLE BLASTER CANNONS,TWIN LASER CANNONS,LASER CANNON TURRETS,MEDIUM TURBOLASERS,(VARIES ACCORDING TO SHIP MODEL),HEAVY BLASTER CANNONS,PROTON TORPEDOS,ORBITAL MINE OR THERMAL DETONATOR LAUNCHER.,ION CANNONS,LIGHT LASER CANNONS,MEDIUM LASER CANNONS,BLASTER CANNONS,TURBOLASER TURRETS,ION CANNON BATTERIES,DOUBLE HEAVY LASER TURRETS,ORBITAL MINE OR THERMAL DETONATOR LAUNCHERS.,DOUBLE LASER CANNON TURRETS,ION CANNON TURRETS,REPEATING BLASTER TURRETS,DOUBLE TURBOLASER TURRETS,HEAVY TURBOLASER BATTERIES,HEAVY LASER CANNONS,SUPERLASERS,HEAVY TURBOLASER CANNONS,HULL-CUTTING AIRLOCKS,HEAVY TRACTORBEAM PROJECTORS,HEAVY LASER CANNON TURRETS,QUAD TURBOLASER CANNONS,MU-1,LASER CANNONS / MU-3: 2 MEDIUM LASER CANNONS,TWIN BLASTER CANNON TURRETS,QUAD TURBOLASER TURRETS,LASER CANNONS TURRETS,QUAD BLASTER CANNON,EMP CANNONS,TURBOLASER CANNON TURRETS,THERMAL DETONATOR LAUNCHERS,HEAVY TURBOLASERS,MEDIUM DUAL TURBOLASERS,PROTON TORPEDO TUBES,DOUBLE BLASTER CANNON TURRETS,Ship Type
18.0,40.0,8.0,20.0,100000.0,3.0,2.0,12.0,65.0,112.0,200.0,0.03666710347044898,0.016255328303139024,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patrol Craft
18.0,153.0,12.0,10.0,200000.0,3.0,-1.0,-1.0,78.0,285.0,400.0,0.03666710347044898,0.016255328303139024,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium Ships
18.0,6.3,1.0,0.0,65.0,0.06666666666666667,-1.0,-1.0,95.0,9.0,-1.0,0.03666710347044898,0.016255328303139024,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE Fighters
17.0,6.7,1.0,0.0,45.0,0.06666666666666667,-1.0,-1.0,90.0,9.0,-1.0,0.03666710347044898,0.016255328303139024,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE Fighters
18.0,6.1,1.0,0.0,-1.0,0.03333333333333333,-1.0,-1.0,111.0,16.0,-1.0,0.03666710347044898,0.016255328303139024,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE Fighters
3.0,15.0,1.0,0.0,40.0,0.2222222222222222,1.0,-1.0,122.0,19.0,120.0,0.990207626280256,0.016255328303139024,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other Starfighters
13.0,180.0,58.0,20.0,500000.0,2.0,2.0,8.0,83.0,176.0,384.0,0.03666710347044898,0.016255328303139024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium Ships
12.0,345.0,275.0,2389.0,2000000.0,2.0,0.5,10.0,26.0,423.0,900.0,0.03666710347044898,0.016255328303139024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium Ships
20.0,8.7,0.0,0.0,-1.0,0.03333333333333333,-1.0,-1.0,144.0,38.0,-1.0,0.03666710347044898,0.016255328303139024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE Experimental Craft
2.0,153.0,30.0,1.0,3000000.0,12.0,2.0,-1.0,22.0,188.0,400.0,0.03666710347044898,0.016255328303139024,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium Ships
